ID,Concept,Underlined,Revised Activity Description,,Instructions
1137,,,Students practice conjugating to be by filling in the blank with one of the three provided options.,,
1102,,,Students practice conjugating to be by filling in the blank with one of the three provided options.,,
775,,,Students practice writing sentences with both adjectives and adverbs by combining three sentences.,,
433,,,Students practice listing adjectives by combining three sentences.,,
844,,,Students practice deciding whether an adjective or an adverb is needed by filling in the blank with one of the provided options. ,,
846,,,"Students practice writing with adjectives, adverbs, and prepositional phrases by combining three or four sentences.",,
645,,,"Students practice writing with adjectives, adverbs, and prepositional phrases by combining three or four sentences.",,
650,,,"Students practice writing a variety of sentence structures by combining four, five, or six sentences using the method of their choice.",,
717,,,Students practice using adverbs and cumulative adjectives by combining four sentences so that two cumulative adjectives are in the right order before the appropriate noun and the adverb of manner is placed correctly.,,
441,,,Students practice using adverbs of manner by combining two sentences. Students must change the adjective in the second kernel to an adverb before combining a sentences.,,
438,,,Students practice using adverbs of manner by combining two sentences.,,
439,,,Students practice using adverbs of manner by combining two sentences.,,
440,,,Students practice using adverbs of manner by combining two sentences.,,
858,,,Students practice writing complex sentences by combining two sentences using after or before. Students are provided the correct joining word to use on each prompt.,,
1194,,,Students practice writing complex sentences by combining two sentences using after or before. Students are provided the correct joining word to use on each prompt.,,
1279,,,Students use the method of their choice to combine two sentences based on an excerpt from a novel by Anthony Doerr.,,
419,,,"Students practice writing complex sentences by combining two sentences using although, even though, though or while at the beginning of a sentence. Students are provided the correct joining word to use on each prompt.",,
1221,,,"Students practice writing complex sentences by combining two sentences using although, even though, though or while at the beginning of a sentence. Students are provided the correct joining word to use on each prompt.",,
898,,,"Students practice writing complex sentences by combining two sentences using although, since, or when. Students must choose the joining word that best connects the ideas.",,
890,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
424,,,Students practice writing compound sentences by combining two sentences using and.,,
897,,,Students practice writing compound and complex sentences by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
899,,,Students practice writing compound sentences by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
780,,,Students practice writing compound sentences by combining two sentences using and or or. Students must choose the joining word that best connects the ideas.,,
426,,,Students practice writing compound sentences by combining two sentences using and or or. Students are provided the correct joining word to use on each prompt.,,
1217,,,Students practice writing compound sentences by combining two sentences using and or or. Students must choose the joining word that best connects the ideas.,,
427,,,Students practice writing compound sentences by combining two sentences using and and or. Students are provided the correct joining word to use on each prompt.,,
430,,,"Students practice writing compound sentences by combining two sentences using and, or, but, or so. Students must choose the joining word that best connects the ideas.",,
776,,,"Students practice writing compound sentences by combining two sentences using and, or, but, or so. Students must choose the joining word that best connects the ideas.",,
838,,,"Students practice writing compound sentences by combining two sentences using and, or, but, or so. Students must choose the joining word that best connects the ideas.",,
879,,,"Students practice writing compound sentences by combining two sentences using and, or, but, or so. Students must choose the joining word that best connects the ideas.",,
867,,,Students practice writing with appositives phrases by combining two sentences. Students must place the appositive phrase at the beginning of a sentence.,,
1213,,,Students practice writing with appositives phrases by combining two sentences. Students must place the appositive phrase at the beginning of a sentence.,,
872,,,"Students practice writing with participial phrases by combining two sentences. Students decide whether the appositive fits best at the beginning, end, or in the middle of a sentence.",,
1214,,,"Students practice writing with participial phrases by combining two sentences. Students decide whether the appositive fits best at the beginning, end, or in the middle of a sentence.",,
866,,,Students practice writing with appositives phrases by combining two sentences. Students must place the appositive phrase at the end of a sentence.,,
1212,,,Students practice writing with appositives phrases by combining two sentences. Students must place the appositive phrase at the end of a sentence.,,
442,,,Students practice writing with appositives phrases by combining two sentences. Students must place the appositive phrase in the middle of a sentence.,,
448,,,Students practice writing with appositives phrases by combining two sentences. Students must place the appositive phrase in the middle of a sentence.,,
1211,,,Students practice writing with appositives phrases by combining two sentences. Students must place the appositive phrase in the middle of a sentence.,,
1220,,,Students practice writing with appositives phrases by combining two sentences. Students must place the appositive phrase in the middle of a sentence.,,
994,,,Students practice writing with descriptive phrases by combining two sentences. Students choose the structure that works best with the ideas in the prompt.,,
999,,,Students practice writing with descriptive phrases by combining two sentences. Students choose the structure that works best with the ideas in the prompt.,,
420,,,"Students practice writing complex sentences by combining two sentences using as long as, if, or unless. Students are provided the correct joining word to use on each prompt.",,
792,,,"Students practice writing complex sentences by combining two sentences using as long as, if, or unless. Students are provided the correct joining word to use on each prompt.",,
990,,,Students practice writing complex sentences by combining two sentences using as soon as or until. Students are provided the correct joining word to use on each prompt.,,
859,,,Students practice writing complex sentences by combining two sentences using as soon as or until. Students are provided the correct joining word to use on each prompt.,,
613,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
429,,,Students practice writing compound sentences by combining two sentences using but or so. Students must choose the joining word that best connects the ideas.,,
428,,,Students practice writing compound sentences by combining two sentences using but or so. Students are provided the correct joining word to use on each prompt.,,
779,,,Students practice writing compound sentences by combining two sentences using but or so. Students must choose the joining word that best connects the ideas.,,
1051,,,Students practice writing compound sentences by combining two sentences using but or so. Students are provided the correct joining word to use on each prompt.,,
1219,,,Students practice writing compound sentences by combining two sentences using but or so. Students must choose the joining word that best connects the ideas.,,
1196,,,Students practice writing compound sentences by combining two sentences using but or so. Students are provided the correct joining word to use on each prompt.,,
841,,,"Students rewrite sentences, adding the correct capitalization. ",,
840,,,Students practice capitalizing titles of people by rewriting sentences using the correct capitalization. ,,
1403,,,Students practice capitalizing titles of people by rewriting sentences using the correct capitalization. ,,
842,,,Students practice using comparative and superlative adjectives by filling in the  blank with more or most.,,
843,,,Students practice using comparative and superlative adjectives by filling in the blank with one of the four provided options. Students must choose the option that is the right degree and formed correctly.,,
1390,,,Students practice using comparative and superlative adjectives by filling in the blank with one of the four provided options. Students must choose the option that is the right degree and formed correctly.,,
653,,,Students practice writing complex sentences by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
435,,,Students practice writing compound objects by combining two sentences.,,
1004,,,Students practice writing compound objects by combining two sentences.,,
857,,,Students practice writing sentences with compound possession by combining two sentences.,,
1422,,,Students practice writing sentences with compound possession by combining two sentences.,,
856,,,Students practice writing sentences with compound possession by combining two sentences.,,
1420,,,Students practice writing sentences with compound possession by combining two sentences.,,
436,,,Students practice writing compound predicates by combining two sentences.,,
1000,,,Students practice writing compound predicates by combining two sentences.,,
862,,,"Students practice writing compound sentences by combining two sentences using and, or, but, or so. Students must choose the joining word that best connects the ideas.",,
434,,,Students practice writing compound subjects by combining two sentences.,,
1003,,,Students practice writing compound subjects by combining two sentences.,,
437,,,"Students practice writing compound subjects, objects, and predicates by combining two sentences. Students must decide which structure works best with the ideas in the prompt.",,
837,,,Students practice writing compound subjects by combining two sentences.,,
1005,,,Students practice writing compound subjects by combining two sentences.,,
1001,,,Students practice writing compound-complex sentences by combining three sentences. Students are provided four joining words and must choose the two that best connect the ideas.,,
868,,,Students practice writing compound-complex sentences by combining three sentences. Students are provided the correct joining words to use on each prompt.,,
869,,,Students practice writing compound-complex sentences by combining three sentences. Students are provided the correct joining words to use on each prompt.,,
985,,,"Students practice using conjunctive adverbs by filling in the blank with moreover, similarly, or consequently. Students must choose the joining word that best connects the ideas.",,
986,,,"Students practice using conjunctive adverbs by filling in the blank with nevertheless, furthermore, or therefore. Students must choose the joining word that best connects the ideas.",,
987,,,"Students practice using conjunctive adverbs by filling in the blank with otherwise, likewise, or hence. Students must choose the joining word that best connects the ideas.",,
1276,,,Students practice using conjunctive adverbs by filling in the blank with one of the three provided options. ,,
1419,,,Students practice using conjunctive adverbs by filling in the blank with one of the three provided options. ,,
861,,,Students practice using conjunctive adverbs by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
870,,,Students practice using conjunctive adverbs by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
993,,,Students practice using conjunctive adverbs by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
851,,,Students practice using conjunctive adverbs by combining two sentences using consequently or as a result. Students are provided the correct joining word to use on each prompt.,,
847,,,Students practice using coordinate adjectives by combining two sentences.,,
1418,,,Students practice using coordinate adjectives by combining two sentences.,,
1407,,,Students practice using cumulative adjectives by combining three or four sentences.,,
713,,,Students practice using cumulative adjectives by combining three sentences.,,
1411,,,Students practice using cumulative adjectives by combining three sentences.,,
714,,,Students practice using cumulative adjectives by combining four sentences.,,
715,,,Students practice using cumulative adjectives by combining four sentences.,,
716,,,Students practice using cumulative adjectives by combining three sentences.,,
1409,,,Students practice using cumulative and coordinate adjectives by combining three or four sentences.,,
1412,,,Students practice using cumulative and coordinate adjectives by combining three or four sentences.,,
983,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
615,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
622,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
863,,,"Students practice using conjunctive adverbs by combining two sentences using furthermore, similarly, in addition, or moreover. Students are provided the correct joining word to use on each prompt.",,
712,,,Students practice using prepositions by combining two sentences.,,
614,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
627,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
860,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
1286,,,Students practice using however or therefore. Students must choose the joining word that best connects the ideas and then add it to the beginning of the correct sentence.,,
755,,,Students practice using however to connect two ideas. Students must decide which sentence goes first and add however to the beginning of the second sentence to show a relationship of contrast.,,
617,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
642,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
623,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
1415,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
756,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
586,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
606,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
853,,,Students practice writing compound and complex sentences that include an adjective by combining three sentences. Students combine sentences using the joining word of their choice.,,
854,,,Students practice writing compound and complex sentences that include an adjective by combining three sentences. Students combine sentences using the joining word of their choice.,,
1223,,,Students use the method of their choice to combine two sentences based on a short story by Roald Dahl.,,
845,,,"Students practice using later, first, instead, and next to connect two ideas by adding the provided joining word to the beginning of the second sentence.",,
1277,,,Students use the method of their choice to combine two sentences based on a personal essay by  Rasma Haidri.,,
605,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
628,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
425,,,Students practice writing compound sentences by combining two sentences using or.,,
1290,,,Students use the method of their choice to combine two sentences based on an excerpt from a novel by Sharon M. Draper.,,
432,,,Students practice using paired adjectives by combining sentences using and. ,,
902,,,"Students combine two or three sentences to practice advanced parallel structure techniques, including writing parallel clauses, using parallel structure with joining words, and switching between nouns, adjectives, and verbs.",,
752,,,Students practice writing with parallel structure by combining two sentences.,,
1235,,,"Students combine two or three sentences to practice advanced parallel structure techniques, including writing parallel clauses, using parallel structure with joining words, and switching between nouns, adjectives, and verbs.",,
754,,,Students practice writing with parallel structure by combining three sentences.,,
1037,,,Students practice writing with parallel structure by combining two sentences.,,
1048,,,Students practice writing with parallel structure by combining three sentences.,,
880,,,Students practice using correlative conjunctions by combining two sentences. Students are provided the correct joining word to use on each prompt.,,
882,,,Students practice writing complex sentences with parallel structure by combining two sentences. Students are provided the correct joining word to use on each prompt.,,
1234,,,Students practice writing complex sentences with parallel structure by combining two sentences. Students are provided the correct joining word to use on each prompt.,,
635,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
1425,,,Students practice deciding between simple past tense and past perfect by filling in the blank with one of the provided options.,,
1426,,,Students practice deciding between simple past tense and past progressive by filling in the blank with one of the provided options.,,
600,,,Students practice writing prepositional phrases by combining two sentences.,,
634,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
633,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
852,,,Students practice making singular and plural nouns possessive by combining two sentences.,,
1430,,,Students practice making singular and plural nouns possessive by combining two sentences.,,
848,,,Students practice making plural nouns possessive by combining two sentences.,,
599,,,Students practice using prepositions by combining two sentences.,,
737,,,"Students rewrite sentences, filling in the blank with the present perfect form of the provided verb.",,
736,,,Students practice deciding between simple present tense and present progressive by filling in the blank with one of the provided options. ,,
732,,,"Students rewrite sentences, filling in the blank with the present progressive form of the provided verb.",,
733,,,"Students rewrite sentences, filling in the blank with not and the present progressive form of the provided verb.",,
734,,,"Students rewrite sentences, filling in the blank with the present progressive form of the provided verb.",,
735,,,"Students rewrite sentences, filling in the blank with the present progressive form of the provided verb.",,
1199,,,Students practice writing with pronoun-antecedent agreement in advanced constructions by filling in the blank with one of the provided pronouns.,,
1203,,,Students practice writing with pronoun-antecedent agreement in advanced constructions by filling in the blank with one of the provided pronouns.,,
1200,,,Students practice writing with pronoun-antecedent agreement in advanced constructions by filling in the blank with one of the provided pronouns.,,
1201,,,Students practice writing with pronoun-antecedent agreement in advanced constructions by filling in the blank with one of the provided pronouns.,,
1205,,,Students practice writing with pronoun-antecedent agreement in advanced constructions by filling in the blank with one of the provided pronouns.,,
1202,,,Students practice writing with pronoun-antecedent agreement in advanced constructions by filling in the blank with one of the provided pronouns.,,
1209,,,Students practice writing with pronoun-antecedent agreement in either/or and neither/nor constructions by filling in the blank with one of the provided pronouns.,,
1210,,,Students practice writing with pronoun-antecedent agreement in either/or and neither/nor constructions by filling in the blank with one of the provided pronouns.,,
1207,,,Students practice writing with pronoun-antecedent agreement with indefinite pronouns by filling in the blank with one of the provided pronouns.,,
1208,,,Students practice writing with pronoun-antecedent agreement with indefinite pronouns by filling in the blank with one of the provided pronouns.,,
762,,,Students practice using object pronouns in compound objects by filling in the blank with one of the provided pronouns.,,
761,,,Students practice using subject pronouns in compound subjects by filling in the blank with one of the provided pronouns.,,
763,,,Students practice using subject and object pronouns by filling in the blank with the correct option. Students must choose between a subject and object pronoun based on the position in a sentence.,,
764,,,Students practice using subject and object pronouns by filling in the blank with the correct option. Students must choose between a subject and object pronoun based on the position in a sentence.,,
875,,,Students practice reducing relative clauses by rewriting sentences.,,
1002,,,"Students practice writing with relative clauses with adjectives and prepositional phrases by combining three sentences using who, that, or which. Students must choose the joining word that best connects the ideas.",,
640,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
1317,,,Students practice using pronouns by filling in the blank with one of the provided options.,,
1333,,,Students practice using pronouns by filling in the blank with one of the provided options.,,
1280,,,Students use the method of their choice to combine two sentences based on an excerpt from a play by William Shakespeare.,,
757,,,Students practice using a semicolon with however or therefore. Students must choose the joining word that best connects the ideas. ,,
1270,,,Students practice using a semicolon with however or therefore. Students must choose the joining word that best connects the ideas. ,,
619,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
742,,,Students practice writing with subject-verb agreement in simple constructions by filling in the blank with one of the provided verbs.,,
751,,,Students practice writing with subject-verb agreement in simple constructions by filling in the blank with one of the provided verbs.,,
1054,,,Students practice writing with subject-verb agreement in simple constructions by filling in the blank with one of the provided verbs.,,
1055,,,Students practice writing with subject-verb agreement in simple constructions by filling in the blank with one of the provided verbs.,,
418,,,Students practice writing complex sentences by combining two sentences using since or because. Students are provided the correct joining word to use on each prompt.,,
781,,,Students practice writing complex sentences by combining two sentences using since or because. Students are provided the correct joining word to use on each prompt.,,
995,,,Students practice writing complex sentences by combining two sentences using since or because. Students are provided the correct joining word to use on each prompt.,,
431,,,Students practice using adjectives by combining two sentences.,,
777,,,Students practice using adjectives by combining two sentences.,,
1057,,,Students practice using adjectives by combining two sentences.,,
1226,,,Students practice writing with subject-verb agreement in advanced constructions by filling in the blank with one of the provided verbs.,,
1225,,,Students practice writing with subject-verb agreement in advanced constructions by filling in the blank with one of the provided verbs.,,
769,,,Students practice writing with subject-verb agreement with collective nouns by filling in the blank with one of the provided verbs.,,
768,,,Students practice writing with subject-verb agreement with collective nouns by filling in the blank with one of the provided verbs.,,
766,,,Students practice writing with subject-verb agreement in sentences with a compound subject by filling in the blank with one of the provided verbs.,,
767,,,Students practice writing with subject-verb agreement with collective nouns by filling in the blank with one of the provided verbs.,,
773,,,Students practice using either/or and neither/nor by combining two sentences.,,
772,,,Students practice writing with subject-verb agreement with either/or and neither/nor constructions by filling in the blank with one of the provided verbs.,,
1233,,,Students practice using either/or and neither/nor by combining two sentences.,,
1232,,,Students practice writing with subject-verb agreement with either/or and neither/nor constructions by filling in the blank with one of the provided verbs.,,
770,,,Students practice writing with subject-verb agreement in sentences with indefinite pronouns by filling in the blank with one of the provided verbs.,,
771,,,Students practice writing with subject-verb agreement in sentences with indefinite pronouns by filling in the blank with one of the provided verbs.,,
765,,,Students practice writing with subject-verb agreement in sentences with interrupting phrases or clauses by filling in the blank with one of the provided verbs.,,
896,,,"Students practice writing with subject-verb agreement in sentences where the subjects are connected by either, neither, or and by filling in the blank with one of the provided options.",,
774,,,Students practice writing with subject-verb agreement in sentences where the subject comes after the verb by filling in the blank with one of the provided verbs.,,
1215,,,Students practice writing with subject-verb agreement in sentences where the subject comes after the verb by filling in the blank with one of the provided verbs.,,
1216,,,Students practice writing with subject-verb agreement in sentences where the subject comes after the verb by filling in the blank with one of the provided verbs.,,
991,,,Students practice writing complex sentences by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
422,,,Students practice writing complex sentences by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
652,,,Students practice writing complex sentences by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
1052,,,Students practice writing complex sentences by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
1359,,,Students practice writing complex sentences by combining two sentences using one of the three provided joining words. Students must choose the joining word that best connects the ideas.,,
1281,,,Students use the method of their choice to combine two sentences based on a poem by Joshua Bennett.,,
616,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
629,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
592,,,Students practice writing with relative clauses by combining two sentences using that.,,
595,,,Students practice writing with relative clauses by combining two sentences using that.,,
639,,,Students practice writing with relative clauses by combining two sentences using that or which. Students are provided the correct pronoun to use on each prompt.,,
476,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
478,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
587,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
1274,,,Students use the method of their choice to combine two sentences based on an excerpt from the a novel by Heidi W. Durrow.,,
1273,,,Students use the method of their choice to combine two sentences based on a song by Lin-Manuel Miranda.,,
585,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
901,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
584,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
641,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
1414,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
618,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
1271,,,Students use the method of their choice to combine two sentences based on an excerpt from a novel by Erin Morgenstern.,,
643,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
621,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
630,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
477,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
608,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
728,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
731,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
1285,,,Students use the method of their choice to combine two sentences based on a personal essay by Toni Morrison.,,
1428,,,"Students practice recognizing the difference between there, their, and there by filling in the blank with the correct word.",,
759,,,Students practice using therefore to connect two ideas. Students must decide which sentence goes first and add therefore to the beginning of the second sentence to show a cause and effect relationship.,,
417,,,Students practice writing complex sentences by combining two sentences using a joining word of time. Students are provided the correct joining word to use on each prompt.,,
1056,,,Students practice writing complex sentences by combining two sentences using a joining word of time. Students are provided the correct joining word to use on each prompt.,,
1429,,,"Students practice recognizing the difference between to, too, and two by filling in the blank with the correct word.",,
884,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
620,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
729,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
730,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
638,,,Students practice deciding when to use the before a noun by filling in the blank with one of the provided options.,,
783,,,"Students practice deciding when to use the before a noun by rewriting sentences, filling in the blank with one of the provided options.",,
632,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
474,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
475,,,Students practice writing sentences with both adjectives and adverbs by combining three sentences.,,
473,,,Students practice using adjectives by combining two or three sentences.,,
1231,,,Students use the method of their choice to combine two sentences based on a short story by Jim Heynen.,,
593,,,Students practice writing with relative clauses by combining two sentences using which.,,
596,,,Students practice writing with relative clauses by combining two sentences using which.,,
778,,,Students practice writing complex sentences by combining two sentences using while or even though. Students are provided the correct joining word to use on each prompt.,,
591,,,Students practice writing with relative clauses by combining two sentences using who.,,
594,,,Students practice writing with relative clauses by combining two sentences using who.,,
597,,,"Students practice writing with relative pronouns by combining two sentences using who, that, or which. Students must choose the pronoun that best connects the ideas.",,
598,,,"Students practice writing with relative pronouns by combining two sentences using who, that, or which. Students must choose the pronoun that best connects the ideas.",,
1218,,,"Students practice writing with relative pronouns by combining two sentences using who, that, or which. Students are provided the correct pronoun to use on each prompt.",,
873,,,Students practice recognizing the difference between who's and whose by filling in the blank with the correct word.,,
889,,,Students practice writing a variety of sentence structures by combining two or three sentences using the method of their choice.,,
1427,,,Students practice recognizing the difference between you're and your by filling in the blank with the correct word.,,
888,,,"Assess students on advanced sentence skills like combining multiple phrases and clauses with complex sentences, and receive a series of recommended activities for each student based on the results.",,
992,,,"Students answer questions on 7 areas of sentence structure, including writing with appositive phrases, relative clauses, and participial phrases.",,
1161,,,"Assess beginning English Language Learners on foundational skills like simple conjugation, basic word order, and use of articles. ",,
447,,,"Assess intermediate English Language Learners on foundational skills like using past tense, using prepositions, and forming compound sentences.",,
850,,,"Assess students on eight areas of sentence structure like writing complex sentences and combining subjects, and receive a series of recommended activities for each student based on the results.",,
1229,,,"Students answer questions on 5 areas of sentence structure, aligned to the Pre-AP English 1 course framework. These skills include using conjunctive adverbs, appositive phrases, and participial phrases, writing with parallel structure, and forming relative clauses.",,
1230,,,"Students answer questions on 5 areas of sentence structure, aligned to the Pre-AP English 1 course framework. These skills include writing with subject-verb and pronoun-antecedent agreement and forming compound and complex sentences.",,
849,,,"Assess students on the basics like using adverbs, adjectives, and proper capitalization, and receive a series of recommended activities for each student based on the results.",,
273,,,Students practice using a lot and all right by rewriting sentences using the correct underlined option.,,
138,,,Students practice using articles by rewriting sentences using a or an. ,,
140,,,Students practice using articles by rewriting sentences using a or an. ,,
1105,,,Students practice using singular and plural nouns by rewriting sentences using the correct underlined option.,,
1144,,,Students practice conjugating to be by rewriting sentences using the correct underlined option.,,
1107,,,Students practice using singular and plural nouns by rewriting sentences using the correct underlined option.,,
