Concept_Level_2,Concept_Level_1,Concept_Level_0,Rule Name (Old) , The Questions,Rule_Question Number (Keep!),Concept Class
Structure,Active and Passive Voice,Passive Voice,Change Sentences from Active to Passive-1,"{""0"":""{The roof was climbed onto by Alex}.""}",1590,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change Sentences from Active to Passive-1,"{""0"":""{The test will be taken by Shirley}.""}",1591,Grammar Concepts
Structure,Active and Passive Voice,Passive Voice,Change Sentences from Active to Passive-1,"{""0"":""{The lightbulb was invented by Thomas Edison}.""}",1592,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change Sentences from Passive to Active,"{""0"":""{John drove the racecar}.""}",1598,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change Sentences from Passive to Active,"{""0"":""{The gardener removed the bees' nest}.""}",1599,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change Sentences from Passive to Active,"{""0"":""{The cashier rung up my groceries}.""}",1600,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change Sentences from Passive to Active,"{""0"":""{April showers bring May flowers}.""}",1601,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change Sentences from Passive to Active,"{""0"":""{The construction worker laid the bricks}.""}",1602,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change Sentences from Passive to Active-1,"{""0"":""{Curiosity killed the cat}.""}",1603,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change Sentences from Passive to Active-1,"{""0"":""{A rolling stone gathers no moss}.""}",1604,Grammar Concepts
Structure,Active and Passive Voice,Active Voice,Change Sentences from Passive to Active-1,"{""0"":""{An apple a day keeps the doctor away}.""}",1605,Grammar Concepts
Adjectives & Adverbs,Adjectives,Adjectives,Adjectives,"{""0"":""I am really {fast} when I run.""}",1795,Grammar Concepts
Adjectives & Adverbs,Adjectives,Adjectives,Adjectives and Adverbs,"{""0"":""The {quiet} mouse scampered through the field.""}",1797,Grammar Concepts
Adjectives & Adverbs,Adjectives,Adjectives,Adjectives and Adverbs,"{""0"":""Toucans have very {colorful} beaks.""}",1798,Grammar Concepts
Adjectives & Adverbs,Adjectives,Adjectives,Adjectives and Adverbs,"{""0"":""The beaches of the British Virgin Isles are {gorgeous}.""}",1799,Grammar Concepts
Adjectives & Adverbs,Adjectives,Adjectives,Adjectives and Adverbs,"{""0"":""I heard that Dolphins are {clever}.""}",1800,Grammar Concepts
Adjectives & Adverbs,Adjectives,Adjectives,Adjectives and Adverbs,"{""0"":""I admit that I was {wrong}.""}",1801,Grammar Concepts
Adjectives & Adverbs,Adjectives,Adjectives,Adjectives and Adverbs,"{""0"":""My dog licked the {cold} water off the tiles.""}",1802,Grammar Concepts
Adjectives & Adverbs,Adjectives,Adjectives,,"{""0"":""{My brother is really smart}.""}",1796,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Consonant Ending,Adjectives to Adverbs: Consonant Ending,"{""0"":""Madeline {loudly} slammed the door shut.""}",1815,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Consonant Ending,Adjectives to Adverbs: Consonant Ending,"{""0"":""Brian caught my attention as he laughed {boisterously}.""}",1816,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Consonant Ending,Adjectives to Adverbs: Consonant Ending and \\\\y\\\\ Ending,"{""0"":""She {quietly} sat for hours without saying anything.""}",1817,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Consonant Ending,Adjectives to Adverbs: Consonant Ending and \\\\y\\\\ Ending,"{""0"":""Casey {bluntly} pointed out the mistake I made.""}",1818,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Consonant Ending,Adjectives to Adverbs: Consonant Ending and \\\\y\\\\ Ending,"{""0"":""The servant {meekly} poured tea for everyone.""}",1819,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Consonant Ending,Adjectives to Adverbs: Consonant Ending and \\\\y\\\\ Ending,"{""0"":""My cousin {haphazardly} threw his clothes on the floor.""}",1820,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Ending in Y,Adjectives to Adverbs: Consonant Ending and \\\\y\\\\ Ending,"{""0"":""The exam weighed {heavily} on our minds.""}",1821,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Ending in Y,Adjectives to Adverbs: Consonant Ending and \\\\y\\\\ Ending,"{""0"":""He {messily} threw his clothes on the floor.""}",1822,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Ending in E,Adjectives to Adverbs: Ending in \\\\e\\\\,"{""0"":""He {rudely} burped in front of everybody.""}",1831,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Ending in E,Adjectives to Adverbs: Ending in \\\\e\\\\,"{""0"":""The girls {safely} made it home.""}",1832,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Ending in E,Adjectives to Adverbs: Ending in \\\\le\\\\,"{""0"":""The puppy {adorably} wagged its tail.""}",1825,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Ending in E,Adjectives to Adverbs: Ending in \\\\le\\\\,"{""0"":""She {gently} picked the painting up.""}",1826,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Ending in Y,Adjectives to Adverbs: Ending in \\\\y\\\\,"{""0"":""She {happily} jumped around.""}",1823,Grammar Concepts
Adjectives & Adverbs,Adjectives to Adverbs,Adjectives to Adverbs: Ending in Y,Adjectives to Adverbs: Ending in \\\\y\\\\,"{""0"":""He {angrily} threw his newspaper onto the lawn.""}",1824,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adverbs,Adjectives & Adverbs,"{""0"":""Mrs. Reid {carefully} placed the vase near the window.""}",1803,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adverbs,Adjectives and Adverbs,"{""0"":""The long play dragged on {endlessly}.""}",1804,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adverbs,Adjectives and Adverbs,"{""0"":""! \\""\\""The gruff old man {coarsely} said, \\\\\\""\\""Thank you,\\\\\\""\\"" and then left.\\\\r\\\\n\\""\\""""}",1805,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adverbs,Adjectives and Adverbs,"{""0"":""Carol {thoroughly} checked over every last detail.""}",1806,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adverbs,Adjectives and Adverbs,"{""0"":""The rat {silently} disappeared without a trace.""}",1807,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adverbs,Adjectives and Adverbs,"{""0"":""That was a very {nicely} cooked meal.""}",1808,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adverbs,Adjectives and Adverbs,"{""0"":""My dog {sloppily} licked the food from her dog bowl.""}",1809,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adverbs,Adjectives and Adverbs,"{""0"":""She {sleepily} turned off her alarm clock.""}",1810,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adverbs,Adjectives and Adverbs,"{""0"":""The plane flew {swiftly} into the night.""}",1811,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adverbs,Adjectives and Adverbs,"{""0"":""You {simply} flip the switch and it turns on.""}",1812,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adjectives to Adverbs: Consonant Ending,Adverbs,"{""0"":""My dog {sheepishly} put the ball in my lap.""}",1814,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adjectives to Adverbs: Ending in Y,Adverbs,"{""0"":""I always answer {honestly} when given a question.""}",1813,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adjectives to Adverbs: Ending in E,Ajectives to Adverbs in \\\\le\\\\ and \\\\e\\\\,"{""0"":""Tom ironed his shirt because it was {wrinkley}.""}",1827,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adjectives to Adverbs: Ending in E,Ajectives to Adverbs in \\\\le\\\\ and \\\\e\\\\,"{""0"":""Denise's thesis was {arguably} the most well written.""}",1828,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adjectives to Adverbs: Ending in E,Ajectives to Adverbs in \\\\le\\\\ and \\\\e\\\\,"{""0"":""James {accurately} imIrregular Nouns: Personated Stephen Colbert.""}",1829,Grammar Concepts
Adjectives & Adverbs,Adverbs,Adjectives to Adverbs: Ending in E,Ajectives to Adverbs in \\\\le\\\\ and \\\\e\\\\,"{""0"":""Be careful eating that fish, it is full of {bones}."",""1"":""Be careful eating that fish, it is full of {bone}.""}",1830,Grammar Concepts
Commonly Confused Words,"Although, All Though",Although,Although,"{""0"":""{Although} we studied common spelling mistakes, some of us Introductory Words: Still write \\""\\""all though.\\""\\""""}",826,Grammar Concepts
Commonly Confused Words,"Although, All Though",Although,Although,"{""0"":""I am pretty sure that's true, {although} I could be wrong.""}",827,Grammar Concepts
Commonly Confused Words,"Bare, Bear",Bare,"Bear, Bare","{""0"":""Irregular Nouns: Children have a tendency to {bare} all their secrets to anybody who will listen.""}",844,Grammar Concepts
Commonly Confused Words,"Bare, Bear",Bear,"Bear, Bare","{""0"":""Don't make any loud noises, I think there is a {bear} in the car.""}",843,Grammar Concepts
Commonly Confused Words,"Bare, Bear",Bear,"Bear, Bare","{""0"":""If you work at something long enough, your labor will eventually {bear} fruit.""}",845,Grammar Concepts
Commonly Confused Words,"Breath, Breathe",Breath,Vocabulary: Breath vs Breathe,"{""0"":""As he continued the race, his {breath} became more ragged.""}",869,Grammar Concepts
Commonly Confused Words,"Breath, Breathe",Breath,Vocabulary: Breath vs Breathe,"{""0"":""The rabbit's {breath} was visible in the night air.""}",870,Grammar Concepts
Commonly Confused Words,"Breath, Breathe",Breath,Vocabulary: Breath vs Breathe,"{""0"":""Before you go into an interview, it's a good idea to take a deep {breath}.""}",871,Grammar Concepts
Contractions,Can't,Can't,Can't,"{""0"":""I {can't} eat any more pie.""}",1833,Grammar Concepts
Contractions,Can't,Can't,Can't,"{""0"":""He {can't} make this shot.""}",1834,Grammar Concepts
Contractions,Can't,Can't,"Can't, Won't","{""0"":""I {can't} come into work today because I feel sick.""}",1835,Grammar Concepts
Contractions,Can't,Can't,"Can't, Won't","{""0"":""In space, you {can't} pour coffee into a cup like you can here.""}",1836,Grammar Concepts
Commonly Confused Words,Cannot,Cannot,Vocabulary: Cannot,"{""0"":""I {cannot} believe how cool physics is.""}",855,Grammar Concepts
Commonly Confused Words,Cannot,Cannot,Vocabulary: Cannot,"{""0"":""This book {cannot} get any more tense.""}",856,Grammar Concepts
Commonly Confused Words,Cannot,Cannot,Vocabulary: Cannot,"{""0"":""It is better to write \\""\\""{cannot}\\""\\"" in formal essays, rather than \\""\\""can't\\""\\"".""}",876,Grammar Concepts
Capitalization,Capitalize Addresses,Capitalize Addresses,Addresses,"{""0"":""Sandy is now living at 221B {Baker St.} in {London}.""}",2071,Grammar Concepts
Capitalization,Capitalize Addresses,Capitalize Addresses,Correct Capitalization,"{""0"":""The {Mauna Kea} observatories have helped us map out the stars.""}",2060,Grammar Concepts
Capitalization,Capitalize Addresses,Capitalize Addresses,Correct Capitalization,"{""0"":""My friend is living on 138 {Fletcher Street} in {Sydney Australia}.""}",2065,Grammar Concepts
Capitalization,Capitalize Addresses,Capitalize Addresses,Correct Capitalization,"{""0"":""Many cities have a {Main Street} or a {First Street}.""}",2066,Grammar Concepts
Capitalization,Capitalize Addresses,Capitalize Addresses,Correct Capitalization,"{""0"":""Deliver the package at 21 {First Street}.""}",2067,Grammar Concepts
Capitalization,Capitalize Addresses,Capitalize Addresses,Correct Capitalization,"{""0"":""We will move from 1321 {Fulton Avenue} to 1503 {College Street}.""}",2068,Grammar Concepts
Capitalization,Capitalize Addresses,Capitalize Addresses,,"{""0"":""Many cities have a {Main Street} or a {First Street}.""}",627,Grammar Concepts
Capitalization,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,"{""0"":""! '{\\""\\""My Paper\\""\\""} is not an acceptable title for your paper.'""}",1413,Grammar Concepts
Capitalization,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,"{""0"":""Many Irregular Nouns: Children know the old rhyme, {\\""\\""Ring Around the Rosie.\\""\\""}""}",1414,Grammar Concepts
Capitalization,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,,"{""0"":""Who Irregular Past Tense Verbs: Wrote {\\""\\""The Catcher in the Rye?\\""\\""}""}",1415,Grammar Concepts
Capitalization,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,,"{""0"":""My favorite movie is {\\""\\""Gone with the Wind.\\""\\""}""}",1416,Grammar Concepts
Capitalization,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,,"{""0"":""The acting troupe calls themselves {\\""\\""The Old Boys.\\""\\""}""}",1417,Grammar Concepts
Capitalization,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,,"{""0"":""'\\""\\""{Charlotte's Web}\\""\\"" has a sad ending.'""}",1418,Grammar Concepts
Capitalization,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,,"{""0"":""! '{\\""\\""Stuart Little\\""\\""} may be the most famous mouse book.'""}",1419,Grammar Concepts
Capitalization,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,,"{""0"":""Have you read \\""\\""{How to Eat Fried Worms}?\\""\\""""}",1420,Grammar Concepts
Capitalization,Capitalize Appropriate Words in Titles,Capitalize Appropriate Words in Titles,,"{""0"":""! '{\\""\\""A Wrinkle in Time\\""\\""} is one of my favorite books.'""}",1421,Grammar Concepts
Capitalization,Capitalize Dates,Capitalize Dates,Capitalize Dates,"{""0"":""She'll be better by {October}.""}",2159,Grammar Concepts
Capitalization,Capitalize Dates,Capitalize Dates,Capitalize Dates,"{""0"":""My grandmother was born on {Tuesday, June 2nd, 1970}.""}",2160,Grammar Concepts
Capitalization,Capitalize Dates,Capitalize Dates,Capitalize Dates and Names of Irregular Nouns: People,"{""0"":""Our parents were married on {April} 20th.""}",2161,Grammar Concepts
Capitalization,Capitalize Dates,Capitalize Dates,Capitalize Dates and Names of Irregular Nouns: People,"{""0"":""She will have a new car by {November} 14th.""}",2162,Grammar Concepts
Capitalization,Capitalize Dates,Capitalize Dates,,"{""0"":""Her fractured arm might heal in {August}.""}",2163,Grammar Concepts
Capitalization,Capitalize Dates,Capitalize Dates,,"{""0"":""Do we graduate on {May} 25th?""}",2166,Grammar Concepts
Capitalization,Capitalize Dates,Capitalize Dates,,"{""0"":""I start my diet on {January} 1st.""}",2167,Grammar Concepts
Capitalization,Capitalize Dates,Capitalize Dates,,"{""0"":""A baseball team from Japan will play a match with us in {April}.""}",2168,Grammar Concepts
Capitalization,Capitalize Dates,Capitalize Dates,,"{""0"":""If we win the match on {Friday}, we will play again next week.""}",2169,Grammar Concepts
Capitalization,Capitalize Dates,Capitalize Dates,,"{""0"":""Our class valedictorian was first to graduate on {May} 21st.""}",2170,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""The man bravely decided to travel up the {Amazon River}.""}",2115,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""Is the {Nile} the longest river?""}",2116,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""The {Marianas Trench} is deep.""}",2117,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""{Russia} is a big country.""}",2118,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""This is where the {Egyptian} civilization began.""}",2119,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""You should acquire a travel visa if you want to go to {Scotland}.""}",2120,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""The {Silk Road} passes through the {Gobi Desert}.""}",2121,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""Have you ever Irregular Past Participles: Been to the {Himalayas}?""}",2122,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""Some Irregular Nouns: People have skied in {Antarctica}.""}",2123,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""Every year, my family and I go skiing in {Idaho}.""}",2125,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""One day, I am going to live in {Sacramento, California}.""}",2128,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,Geographic Names,"{""0"":""Have you ever Irregular Past Participles: Been to {London} before?""}",2131,Grammar Concepts
Capitalization,Capitalize Geographic Names,Capitalize Geographic Names,Geographic Names,"{""0"":""I want to visit {Florida}.""}",2132,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""How many countries celebrate {Thanksgiving}?""}",2102,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""When will {Ramadan} happen this year?""}",2103,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""Will we have school on {Memorial Day}?""}",2104,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""Our family likes to celebrate the {Chinese New Year}.""}",2105,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""We stay up late on {New Year's Eve}.""}",2106,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""Relative Pronouns: Why do some Irregular Nouns: People decorate eggs on {Easter}?""}",2107,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""My uncle Introductory Words: Still dresses up for {Halloween}.""}",2108,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""When is {Columbus Day}?""}",2109,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""Some Irregular Nouns: People try to celebrate {Christmas} in July as well.""}",2110,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""We sing {Christmas} carols every year.""}",2111,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""My birthday is on {St. Patrick's Day}.""}",2124,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""My favorite holiday is {Halloween}.""}",2126,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""My parents' favorite day is {Labor Day} because they don't go to work.""}",2127,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,Holidays,"{""0"":""My friend invited me to his {Christmas} party.""}",2100,Grammar Concepts
Capitalization,Capitalize Holidays,Capitalize Holidays,Holidays,"{""0"":""Are you planning anything special for {Halloween}?""}",2101,Grammar Concepts
Capitalization,Capitalize Names of People,Capitalize Names of People,,"{""0"":""{Beau} plays the trumpet.""}",2175,Grammar Concepts
Capitalization,Capitalize Names of People,Capitalize Names of People,,"{""0"":""The {Harmon} twins dance well.""}",2176,Grammar Concepts
Capitalization,Capitalize Names of People,Capitalize Names of People,,"{""0"":""{Magic Johnson} was born on {August} 14th, 1959.""}",2181,Grammar Concepts
Capitalization,Capitalize Product Names,Capitalize Product Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""I want to be one of the {Boston Celtics}.""}",2112,Grammar Concepts
Capitalization,Capitalize Product Names,Capitalize Product Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""Do you prefer {Xbox} or {Wii}?""}",2113,Grammar Concepts
Capitalization,Capitalize Product Names,Capitalize Product Names,"Capitalize Holidays, Product Names, and Geographic Names","{""0"":""I asked for {Heinz} ketchup, not {Hunts}.""}",2114,Grammar Concepts
Capitalization,Capitalize Product Names,Capitalize Product Names,Product Names,"{""0"":""I wanted to work at {Microsoft} because I wanted to build computers.""}",2129,Grammar Concepts
Capitalization,Capitalize Product Names,Capitalize Product Names,Product Names,"{""0"":""My brother wants to be the quarterback for the {Dallas Cowboys}.""}",2130,Grammar Concepts
Capitalization,Capitalize the Beginning of a Quotation,Capitalize the Beginning of a Quotation,Correct Capitalization,"{""0"":""Our coach shouted, \\""\\""{Pass} the ball!\\""\\""""}",2062,Grammar Concepts
Capitalization,Capitalize the Beginning of a Quotation,Capitalize the Beginning of a Quotation,Correct Capitalization,"{""0"":""I like the old saying, \\""\\""{Treat} others how you would like to be treated.\\""\\""""}",2063,Grammar Concepts
Capitalization,Capitalize the Beginning of a Sentence,Capitalize the Beginning of a Sentence,Correct Capitalization,"{""0"":""{Where} do you think you're going?""}",2053,Grammar Concepts
Capitalization,Capitalize the Beginning of a Sentence,Capitalize the Beginning of a Sentence,Correct Capitalization,"{""0"":""{Flamingos} tend to eat with their heads upside down.""}",2054,Grammar Concepts
Capitalization,Capitalize the Beginning of a Sentence,Capitalize the Beginning of a Sentence,Correct Capitalization,"{""0"":""{Is} anybody here?""}",2055,Grammar Concepts
Capitalization,Capitalize the Beginning of a Sentence,Capitalize the Beginning of a Sentence,Correct Capitalization,"{""0"":""{Our} class is going to New York City together.""}",2056,Grammar Concepts
Capitalization,Capitalize the Beginning of a Sentence,Capitalize the Beginning of a Sentence,Correct Capitalization,"{""0"":""{The} coach shouted, \\""\\""{Run} all the way through!\\""\\""""}",2057,Grammar Concepts
Capitalization,Capitalize the Beginning of a Sentence,Capitalize the Beginning of a Sentence,Correct Capitalization,"{""0"":""{Let's} play tennis.""}",2058,Grammar Concepts
Capitalization,Capitalize the Beginning of a Sentence,Capitalize the Beginning of a Sentence,First Word of a Sentence,"{""0"":""{The} deli is closed today.""}",2052,Grammar Concepts
Capitalization,Capitalize the Beginning of a Sentence,Capitalize the Beginning of a Sentence,Using Quill,"{""0"":""{He} performed a joyful jig at the prospect of company.""}",786,Grammar Concepts
Capitalization,Capitalize the Beginning of a Sentence,Capitalize the Beginning of a Sentence,Using Quill,"{""0"":""{There} were plenty of fish in the nearby river.""}",787,Grammar Concepts
Capitalization,Capitalize the Beginning of a Sentence,Capitalize the Beginning of a Sentence,Using Quill,"{""0"":""{I} would like cream and sugar with my coffee.""}",788,Grammar Concepts
Commonly Confused Words,"Clean, Cleanse",Clean,"Clean, Cleanse","{""0"":""Many Irregular Nouns: People believe it is important to {clean} your desk Every Day.""}",841,Grammar Concepts
Commonly Confused Words,"Clean, Cleanse",Cleanse,"Clean, Cleanse","{""0"":""The monks would meditate under waterfalls to spiritually {cleanse} themselves.""}",840,Grammar Concepts
Commonly Confused Words,"Clean, Cleanse",Cleanse,"Clean, Cleanse","{""0"":""Many of my friends use facial scrubs that {cleanse} their skin.""}",842,Grammar Concepts
Nouns & Pronouns,Collective Nouns,Collective Nouns,Use Collective Nouns,"{""0"":""Our coach told us to split into two {teams} for the scrimmage.""}",1715,Grammar Concepts
Nouns & Pronouns,Collective Nouns,Collective Nouns,Use Collective Nouns,"{""0"":""A {panel} of judges rated her performance an 8.""}",1716,Grammar Concepts
Nouns & Pronouns,Collective Nouns,Collective Nouns,Use Collective Nouns,"{""0"":""You will need a strong {pack} of sled dogs to win the Iditarod.""}",1717,Grammar Concepts
Nouns & Pronouns,Collective Nouns,Collective Nouns,Use Collective Nouns,"{""0"":""Split the apples into {groups} based off of their color.""}",1718,Grammar Concepts
Nouns & Pronouns,Collective Nouns,Collective Nouns,Use Collective Nouns-1,"{""0"":""The {team} of soccer players celebrated their victory.""}",1714,Grammar Concepts
Nouns & Pronouns,Collective Nouns,Collective Nouns,Use Collective Nouns-2,"{""0"":""The king asked his {panel} of advisors how to proceed.""}",1719,Grammar Concepts
Nouns & Pronouns,Collective Nouns,Collective Nouns,Use Collective Nouns-3,"{""0"":""Can you buy me a {pack} of gum from the shop?""}",1720,Grammar Concepts
Nouns & Pronouns,Collective Nouns,Collective Nouns,Use Collective Nouns-4,"{""0"":""We are going to work on our {group} project this evening.""}",1721,Grammar Concepts
Punctuation,Colons in Lists,Colons in Lists,Colons,"{""0"":""! 'The store had all kinds of {glasses:} red, blue, and purple.'""}",2050,Grammar Concepts
Punctuation,Colons in Lists,Colons in Lists,Colons,"{""0"":""! 'I love {sports:} soccer, football, and basketball are my favorites.'""}",2051,Grammar Concepts
